Age_Group,Background,Year,Sex,Education,Population
65 and over,Immigrants,2021,Males,Tertiary education,231
65 and over,Immigrants,2021,Males,Upper secondary education,365
65 and over,Natives,2011,Females,Basic education,15366
65 and over,Natives,2011,Females,Tertiary education,1548
65 and over,Natives,2011,Females,Upper secondary education,4060
65 and over,Natives,2011,Males,Basic education,6402
65 and over,Natives,2011,Males,Tertiary education,2639
65 and over,Natives,2011,Males,Upper secondary education,9237
65 and over,Natives,2021,Females,Basic education,15457
65 and over,Natives,2021,Females,Tertiary education,4649
65 and over,Natives,2021,Females,Upper secondary education,6890
65 and over,Natives,2021,Males,Basic education,6977
65 and over,Natives,2021,Males,Tertiary education,5386
65 and over,Natives,2021,Males,Upper secondary education,12779
