"Municipality","Age","2011 Natives Males","2011 Natives Females","2011 Immigrants Males","2011 Immigrants Females","2021 Natives Males","2021 Natives Females","2021 Immigrants Males","2021 Immigrants Females"
"Sudurnesjabaer","1 years",1,6,..,..,3,6,..,..
"Sudurnesjabaer","2 years",5,3,..,..,3,7,..,..
"Sudurnesjabaer","3 years",7,3,..,..,6,3,..,1
"Sudurnesjabaer","4 years",8,6,..,..,9,4,..,..
"Sudurnesjabaer","5 years",8,3,..,..,9,7,..,3
"Sudurnesjabaer","6 years",4,6,..,..,5,6,..,..
"Sudurnesjabaer","7 years",4,9,..,..,5,5,..,..
"Sudurnesjabaer","8 years",6,5,..,..,10,11,..,..
"Sudurnesjabaer","9 years",6,5,..,..,3,10,..,..
"Sudurnesjabaer","10 years",8,3,..,..,6,10,..,..
"Sudurnesjabaer","11 years",4,10,..,..,5,8,..,..
"Sudurnesjabaer","12 years",3,10,..,..,8,8,..,..
"Sudurnesjabaer","13 years",8,7,..,..,10,8,..,..
"Sudurnesjabaer","14 years",5,1,..,..,8,6,..,..
"Sudurnesjabaer","15 years",5,14,..,..,8,8,..,..
"Sudurnesjabaer","16 years",4,7,1,..,2,13,..,..
"Sudurnesjabaer","17 years",6,6,..,1,7,6,..,..
"Sudurnesjabaer","18 years",7,12,1,..,6,3,..,..
"Sudurnesjabaer","19 years",5,5,1,1,5,4,..,..
"Sudurnesjabaer","20 years",4,7,1,..,4,6,..,5
"Sudurnesjabaer","21 years",11,7,..,3,3,9,..,1
"Sudurnesjabaer","22 years",10,8,3,2,2,4,4,..
"Sudurnesjabaer","23 years",5,3,2,4,5,2,4,3
"Sudurnesjabaer","24 years",8,6,1,4,5,7,1,6
"Sudurnesjabaer","25 years",3,6,3,2,4,3,3,4
"Sudurnesjabaer","26 years",1,3,3,2,5,2,6,2
"Sudurnesjabaer","27 years",1,5,2,5,4,4,12,10
"Sudurnesjabaer","28 years",4,3,2,1,6,2,9,11
"Sudurnesjabaer","29 years",6,10,1,..,6,4,10,10
"Sudurnesjabaer","30 years",5,5,..,..,4,3,8,10
"Sudurnesjabaer","31 years",2,1,3,1,3,4,6,11
"Sudurnesjabaer","32 years",5,8,..,..,1,3,6,1
"Sudurnesjabaer","33 years",3,5,2,1,3,9,4,4
"Sudurnesjabaer","34 years",4,1,2,..,1,1,4,6
"Sudurnesjabaer","35 years",3,3,1,..,5,3,12,1
"Sudurnesjabaer","36 years",4,4,1,..,3,5,..,2
"Sudurnesjabaer","37 years",3,4,..,2,4,6,6,3
"Sudurnesjabaer","38 years",3,8,..,1,5,10,2,2
"Sudurnesjabaer","39 years",2,4,1,1,7,2,..,..
"Sudurnesjabaer","40 years",4,3,2,..,4,4,..,..
"Sudurnesjabaer","41 years",7,2,..,2,9,9,1,1
"Sudurnesjabaer","42 years",4,5,..,2,4,6,1,1
"Sudurnesjabaer","43 years",3,3,1,3,6,3,3,..
"Sudurnesjabaer","44 years",4,4,..,3,5,4,2,2
"Sudurnesjabaer","45 years",7,3,..,..,4,6,3,1
"Sudurnesjabaer","46 years",9,4,1,1,2,4,1,6
"Sudurnesjabaer","47 years",9,10,..,1,3,9,1,3
"Sudurnesjabaer","48 years",2,3,1,..,4,..,1,2
"Sudurnesjabaer","49 years",4,6,..,..,4,3,..,..
"Sudurnesjabaer","50 years",6,4,..,..,9,3,..,4
"Sudurnesjabaer","51 years",4,6,..,..,4,6,..,1
"Sudurnesjabaer","52 years",7,4,1,..,6,3,..,2
"Sudurnesjabaer","53 years",4,9,1,..,6,4,..,1
"Sudurnesjabaer","54 years",3,8,..,1,7,9,1,..
"Sudurnesjabaer","55 years",10,12,..,..,8,4,..,2
"Sudurnesjabaer","56 years",9,6,..,..,11,9,..,1
"Sudurnesjabaer","57 years",9,8,..,..,2,3,1,1
"Sudurnesjabaer","58 years",8,10,..,..,7,6,..,..
"Sudurnesjabaer","59 years",8,4,..,..,8,6,..,..
"Sudurnesjabaer","60 years",4,7,1,..,6,6,..,..
"Sudurnesjabaer","61 years",12,4,..,..,5,6,..,..
"Sudurnesjabaer","62 years",9,4,..,..,8,10,..,..
"Sudurnesjabaer","63 years",1,8,..,..,7,8,..,1
"Sudurnesjabaer","64 years",6,6,..,..,14,9,..,..
"Sudurnesjabaer","65 years",9,5,..,..,9,6,..,..
"Sudurnesjabaer","66 years",5,7,..,1,12,6,..,..
"Sudurnesjabaer","67 years",2,5,..,..,7,6,..,..
"Sudurnesjabaer","68 years",5,4,..,..,7,3,..,..
"Sudurnesjabaer","69 years",5,3,..,..,2,6,1,..
"Sudurnesjabaer","70 years",1,1,..,1,10,5,..,1
"Sudurnesjabaer","71 years",4,1,1,..,5,3,..,..
"Sudurnesjabaer","72 years",6,4,..,1,4,5,..,..
"Sudurnesjabaer","73 years",4,1,..,..,5,4,..,..
"Sudurnesjabaer","74 years",2,2,..,..,3,4,..,..
"Sudurnesjabaer","75 years",2,1,..,..,2,4,..,1
"Sudurnesjabaer","76 years",5,3,..,..,3,4,..,..
"Sudurnesjabaer","77 years",4,4,..,..,2,..,..,..
"Sudurnesjabaer","78 years",3,1,..,..,4,4,..,..
"Sudurnesjabaer","79 years",1,4,..,..,1,..,..,..
"Sudurnesjabaer","80 years",4,1,..,..,3,1,..,..
"Sudurnesjabaer","81 years",1,..,..,..,5,2,..,..
"Sudurnesjabaer","82 years",1,..,..,..,1,1,..,..
"Sudurnesjabaer","83 years",..,1,..,..,2,2,..,..
"Sudurnesjabaer","84 years",1,2,..,..,1,1,..,..
"Sudurnesjabaer","85 years",1,..,..,..,1,..,..,..
"Sudurnesjabaer","86 years",1,1,..,..,2,..,..,..
"Sudurnesjabaer","87 years",2,..,..,..,..,..,..,..
"Sudurnesjabaer","88 years",..,..,..,..,..,1,..,..
"Sudurnesjabaer","89 years",2,..,..,..,1,1,..,..
"Sudurnesjabaer","90 years",..,..,..,..,1,..,..,..
"Sudurnesjabaer","91 years",..,1,..,..,..,..,..,..
"Sudurnesjabaer","92 years",1,1,..,..,..,..,..,..
"Sudurnesjabaer","93 years",1,..,..,..,..,..,..,..
"Sudurnesjabaer","94 years",..,..,..,..,..,..,..,..
"Sudurnesjabaer","95 years",..,..,..,..,..,..,..,..
"Sudurnesjabaer","96 years",1,..,..,..,..,..,..,..
"Sudurnesjabaer","97 years",..,..,..,..,..,..,..,..
"Sudurnesjabaer","98 years",..,..,..,..,..,..,..,..
"Sudurnesjabaer","99 years",..,..,..,..,..,..,..,..
"Sudurnesjabaer","100 years",..,..,..,..,..,..,..,..
"Sudurnesjabaer","101 years",..,..,..,..,..,..,..,..
"Sudurnesjabaer","102 years",..,..,..,..,..,..,..,..
"Sudurnesjabaer","103 years",..,..,..,..,..,..,..,..
"Sudurnesjabaer","104 years",..,..,..,..,..,..,..,..
"Sudurnesjabaer","105 years",..,..,..,..,..,..,..,..
"Sudurnesjabaer","106 years",..,..,..,..,..,..,..,..
"Sudurnesjabaer","107 years",..,..,..,..,..,..,..,..
"Sudurnesjabaer","108 years",..,..,..,..,..,..,..,..
"Akraneskaupstadur","In 1st year",26,17,..,..,14,20,..,..
"Akraneskaupstadur","1 years",27,28,..,..,17,26,1,..
"Akraneskaupstadur","2 years",20,25,..,..,25,20,..,1
"Akraneskaupstadur","3 years",29,26,..,..,28,21,..,..
"Akraneskaupstadur","4 years",29,19,..,..,22,16,2,3
"Akraneskaupstadur","5 years",33,30,..,..,28,20,1,..
"Akraneskaupstadur","6 years",26,20,..,..,14,25,1,..
"Akraneskaupstadur","7 years",30,23,1,1,23,20,..,1
"Akraneskaupstadur","8 years",28,23,1,1,25,22,3,2
"Akraneskaupstadur","9 years",21,13,..,..,29,12,3,..
"Akraneskaupstadur","10 years",34,22,1,..,29,17,..,..
"Akraneskaupstadur","11 years",35,22,2,..,17,21,1,..
"Akraneskaupstadur","12 years",24,32,..,2,30,29,1,2
"Akraneskaupstadur","13 years",18,22,..,1,26,18,1,1
"Akraneskaupstadur","14 years",32,25,2,1,31,26,1,2
"Akraneskaupstadur","15 years",24,32,..,1,21,19,..,..
"Akraneskaupstadur","16 years",22,23,..,1,25,15,1,..
"Akraneskaupstadur","17 years",31,26,..,2,26,19,2,1
"Akraneskaupstadur","18 years",25,34,1,1,21,12,..,..
"Akraneskaupstadur","19 years",28,27,..,1,29,15,2,..
"Akraneskaupstadur","20 years",29,35,1,1,23,6,1,..
"Akraneskaupstadur","21 years",38,40,..,1,20,18,1,2
"Akraneskaupstadur","22 years",47,21,1,4,16,19,..,2
"Akraneskaupstadur","23 years",51,28,2,2,20,12,3,5
"Akraneskaupstadur","24 years",30,28,..,1,15,14,4,6
"Akraneskaupstadur","25 years",38,36,3,2,14,23,7,7
"Akraneskaupstadur","26 years",24,25,2,3,22,17,11,12
"Akraneskaupstadur","27 years",22,13,4,3,15,20,8,10
"Akraneskaupstadur","28 years",25,19,..,2,17,19,8,10
"Akraneskaupstadur","29 years",33,22,..,1,14,19,8,8
"Akraneskaupstadur","30 years",28,27,..,2,21,16,9,6
"Akraneskaupstadur","31 years",28,24,3,5,22,20,5,4
"Akraneskaupstadur","32 years",29,24,2,3,25,18,4,6
"Akraneskaupstadur","33 years",20,21,1,1,14,9,6,6
"Akraneskaupstadur","34 years",16,8,..,2,18,17,11,5
"Akraneskaupstadur","35 years",17,20,1,2,18,20,4,3
"Akraneskaupstadur","36 years",25,17,2,5,13,9,4,7
"Akraneskaupstadur","37 years",16,17,1,2,16,18,5,7
"Akraneskaupstadur","38 years",22,18,2,1,13,16,5,1
"Akraneskaupstadur","39 years",26,32,4,1,21,22,2,4
"Akraneskaupstadur","40 years",18,16,..,..,17,21,6,6
"Akraneskaupstadur","41 years",18,22,3,..,21,22,6,3
"Akraneskaupstadur","42 years",16,14,3,6,13,19,1,3
"Akraneskaupstadur","43 years",18,15,3,2,16,10,2,5
"Akraneskaupstadur","44 years",16,17,3,4,21,14,5,3
"Akraneskaupstadur","45 years",22,23,2,4,22,11,3,4
"Akraneskaupstadur","46 years",26,22,2,2,17,11,4,2
"Akraneskaupstadur","47 years",16,28,1,1,23,17,9,5
"Akraneskaupstadur","48 years",21,24,2,1,22,31,5,2
"Akraneskaupstadur","49 years",26,18,..,1,11,17,4,2
"Akraneskaupstadur","50 years",21,24,2,1,13,19,4,1
"Akraneskaupstadur","51 years",19,24,2,..,13,14,7,6
"Akraneskaupstadur","52 years",22,28,1,..,14,12,4,3
"Akraneskaupstadur","53 years",23,21,1,1,20,12,4,5
"Akraneskaupstadur","54 years",17,29,1,..,19,25,5,3
"Akraneskaupstadur","55 years",14,20,..,..,23,21,1,5
"Akraneskaupstadur","56 years",31,26,..,2,15,28,1,1
"Akraneskaupstadur","57 years",14,16,..,..,26,21,5,1
"Akraneskaupstadur","58 years",27,21,1,..,26,18,..,4
"Akraneskaupstadur","59 years",25,23,1,1,22,21,3,..
"Akraneskaupstadur","60 years",23,19,..,..,20,19,3,..
"Akraneskaupstadur","61 years",23,15,1,..,27,26,..,3
"Akraneskaupstadur","62 years",28,20,1,..,24,20,1,3
"Akraneskaupstadur","63 years",15,20,..,..,17,26,1,..
"Akraneskaupstadur","64 years",15,10,..,..,16,22,..,1
"Akraneskaupstadur","65 years",22,17,..,1,31,26,..,1
"Akraneskaupstadur","66 years",17,15,..,..,20,13,1,..
"Akraneskaupstadur","67 years",17,10,..,..,25,29,1,..
"Akraneskaupstadur","68 years",19,18,..,1,27,22,1,..
"Akraneskaupstadur","69 years",11,11,..,..,21,23,1,..
"Akraneskaupstadur","70 years",10,5,..,..,26,19,..,..
"Akraneskaupstadur","71 years",14,7,..,1,30,20,..,..
"Akraneskaupstadur","72 years",14,12,..,..,15,21,..,1
"Akraneskaupstadur","73 years",10,11,..,..,15,9,..,..
"Akraneskaupstadur","74 years",6,4,..,..,23,13,..,..
"Akraneskaupstadur","75 years",13,11,1,..,17,14,..,1
"Akraneskaupstadur","76 years",9,18,..,..,13,11,..,..
"Akraneskaupstadur","77 years",7,6,..,..,17,14,..,1
"Akraneskaupstadur","78 years",11,10,..,..,11,7,..,..
"Akraneskaupstadur","79 years",8,9,..,..,10,6,..,..
"Akraneskaupstadur","80 years",5,6,..,..,18,6,..,1
"Akraneskaupstadur","81 years",11,10,..,..,10,11,..,..
"Akraneskaupstadur","82 years",5,9,..,..,7,8,..,..
"Akraneskaupstadur","83 years",9,7,..,..,3,4,..,..
"Akraneskaupstadur","84 years",5,11,1,..,5,7,1,..
"Akraneskaupstadur","85 years",6,1,..,..,7,9,..,..
"Akraneskaupstadur","86 years",4,6,1,..,5,7,..,..
"Akraneskaupstadur","87 years",3,1,..,..,2,3,..,..
"Akraneskaupstadur","88 years",2,4,..,..,3,7,..,..
"Akraneskaupstadur","89 years",1,5,..,..,4,4,..,..
"Akraneskaupstadur","90 years",2,4,..,..,4,5,..,..
"Akraneskaupstadur","91 years",2,4,..,..,2,1,..,..
"Akraneskaupstadur","92 years",..,1,..,..,..,2,..,..
"Akraneskaupstadur","93 years",..,2,..,..,1,2,1,..
"Akraneskaupstadur","94 years",..,4,..,..,3,2,..,..
"Akraneskaupstadur","95 years",..,3,..,..,1,2,..,..
"Akraneskaupstadur","96 years",..,..,..,..,..,..,..,..
"Akraneskaupstadur","97 years",..,1,..,..,..,..,..,..
"Akraneskaupstadur","98 years",..,..,..,..,..,..,..,..
"Akraneskaupstadur","99 years",..,..,..,..,..,..,..,..
"Akraneskaupstadur","100 years",..,1,..,..,..,..,..,..
"Akraneskaupstadur","101 years",..,1,..,..,..,..,..,..
"Akraneskaupstadur","102 years",..,..,..,..,..,..,..,..
"Akraneskaupstadur","103 years",..,..,..,..,..,..,..,..
"Akraneskaupstadur","104 years",..,..,..,..,..,..,..,..
"Akraneskaupstadur","105 years",..,..,..,..,..,..,..,..
"Akraneskaupstadur","106 years",..,..,..,..,..,..,..,..
"Akraneskaupstadur","107 years",..,..,..,..,..,..,..,..
"Akraneskaupstadur","108 years",..,..,..,..,..,..,..,..
"Skorradalshreppur","In 1st year",1,3,..,..,3,2,..,..
"Skorradalshreppur","1 years",2,3,..,..,1,2,..,..
"Skorradalshreppur","2 years",4,5,..,..,1,2,..,..
"Skorradalshreppur","3 years",6,6,..,..,2,..,..,..
"Skorradalshreppur","4 years",8,4,..,..,5,2,..,..
"Skorradalshreppur","5 years",4,6,..,..,4,1,..,..
"Skorradalshreppur","6 years",7,1,..,..,4,2,..,..
"Skorradalshreppur","7 years",5,3,..,..,1,4,..,..
"Skorradalshreppur","8 years",3,5,..,..,7,3,..,..
"Skorradalshreppur","9 years",6,3,..,..,2,3,..,..
"Skorradalshreppur","10 years",2,3,1,..,2,3,..,..
"Skorradalshreppur","11 years",6,7,..,..,6,4,..,..
"Skorradalshreppur","12 years",9,5,..,..,6,5,..,..
"Skorradalshreppur","13 years",6,2,..,..,7,7,..,..
"Skorradalshreppur","14 years",4,2,..,..,4,6,..,..
"Skorradalshreppur","15 years",8,5,..,..,5,2,..,..
"Skorradalshreppur","16 years",3,2,..,..,5,3,..,..
"Skorradalshreppur","17 years",5,2,..,..,4,5,..,1
"Skorradalshreppur","18 years",8,5,..,..,5,3,..,..
"Skorradalshreppur","19 years",4,4,..,1,2,2,..,..
"Skorradalshreppur","20 years",6,1,..,1,5,5,..,1
"Skorradalshreppur","21 years",2,2,..,..,5,6,..,2
"Skorradalshreppur","22 years",3,5,..,..,4,1,..,1
"Skorradalshreppur","23 years",5,2,..,1,3,..,..,1
"Skorradalshreppur","24 years",3,3,..,1,5,4,2,..
"Skorradalshreppur","25 years",2,2,..,..,2,1,1,..
"Skorradalshreppur","26 years",1,3,..,..,3,1,1,..
"Skorradalshreppur","27 years",3,3,1,..,6,3,1,2
"Skorradalshreppur","28 years",7,4,..,..,1,..,1,3
"Skorradalshreppur","29 years",3,1,..,..,1,3,..,1
"Skorradalshreppur","30 years",3,..,..,..,3,1,..,..
"Skorradalshreppur","31 years",1,6,1,1,2,5,..,..
"Skorradalshreppur","32 years",..,3,1,2,1,2,1,..
"Skorradalshreppur","33 years",3,5,..,..,1,4,1,..
"Skorradalshreppur","34 years",3,..,..,..,..,2,..,2
"Skorradalshreppur","35 years",2,4,..,1,..,2,1,..
"Skorradalshreppur","36 years",4,4,..,..,1,2,2,..
"Skorradalshreppur","37 years",4,5,..,..,6,1,..,..
"Skorradalshreppur","38 years",2,2,..,2,3,1,..,..
"Skorradalshreppur","39 years",3,2,..,1,2,..,..,1
"Skorradalshreppur","40 years",..,3,..,..,3,5,1,1
"Skorradalshreppur","41 years",7,7,1,..,2,5,1,2
"Skorradalshreppur","42 years",4,7,2,..,2,4,..,..
"Skorradalshreppur","43 years",4,4,1,..,3,..,..,..
"Skorradalshreppur","44 years",5,2,..,1,2,5,..,1
"Skorradalshreppur","45 years",1,2,..,..,3,4,1,..
"Skorradalshreppur","46 years",5,3,..,1,3,4,..,..
"Skorradalshreppur","47 years",4,7,..,1,3,4,..,2
"Skorradalshreppur","48 years",2,6,1,..,2,2,..,1
"Skorradalshreppur","49 years",4,7,..,..,..,3,..,1
"Skorradalshreppur","50 years",3,7,..,..,8,8,1,..
"Skorradalshreppur","51 years",2,3,..,..,3,6,..,..
"Skorradalshreppur","52 years",11,4,..,..,5,4,..,..
"Skorradalshreppur","53 years",9,2,..,..,4,6,..,1
"Skorradalshreppur","54 years",3,3,..,..,4,1,..,1
"Skorradalshreppur","55 years",4,1,..,..,9,2,..,1
"Skorradalshreppur","56 years",4,3,..,..,3,4,..,1
"Skorradalshreppur","57 years",2,3,..,..,3,4,..,1
"Skorradalshreppur","58 years",1,6,..,..,4,5,..,..
"Skorradalshreppur","59 years",6,4,..,..,1,9,..,..
"Skorradalshreppur","60 years",5,4,..,..,5,7,..,..
"Skorradalshreppur","61 years",9,5,..,..,11,4,..,..
"Skorradalshreppur","62 years",7,4,..,..,11,4,1,..
"Skorradalshreppur","63 years",2,6,..,..,4,5,..,..
"Skorradalshreppur","64 years",9,3,1,..,5,2,..,..
"Skorradalshreppur","65 years",4,6,..,..,3,3,..,..
"Skorradalshreppur","66 years",3,4,..,..,2,5,1,..
"Skorradalshreppur","67 years",4,2,..,..,4,2,..,..
"Skorradalshreppur","68 years",1,2,1,..,7,3,..,..
"Skorradalshreppur","69 years",2,1,..,..,2,5,..,..
"Skorradalshreppur","70 years",9,3,..,..,6,3,..,..
"Skorradalshreppur","71 years",2,3,..,..,4,2,..,..
"Skorradalshreppur","72 years",2,7,..,..,2,4,..,..
"Skorradalshreppur","73 years",6,6,..,..,9,3,..,..
"Skorradalshreppur","74 years",2,1,..,..,2,5,..,..
"Skorradalshreppur","75 years",2,2,..,..,2,4,..,..
"Skorradalshreppur","76 years",4,1,..,..,5,2,..,..
"Skorradalshreppur","77 years",3,1,..,..,1,1,..,..
"Skorradalshreppur","78 years",5,3,..,..,1,..,..,..
"Skorradalshreppur","79 years",3,1,..,..,3,2,..,..
"Skorradalshreppur","80 years",2,..,..,..,1,1,..,..
"Skorradalshreppur","81 years",3,2,..,..,1,5,..,..
"Skorradalshreppur","82 years",..,4,..,..,4,6,..,..
"Skorradalshreppur","83 years",3,..,..,..,2,1,..,..
"Skorradalshreppur","84 years",1,2,..,..,2,2,..,..
"Skorradalshreppur","85 years",3,1,..,..,1,..,..,..
"Skorradalshreppur","86 years",1,1,..,..,1,..,..,..
"Skorradalshreppur","87 years",1,2,..,..,3,2,..,..
"Skorradalshreppur","88 years",..,..,..,..,1,3,..,..
"Skorradalshreppur","89 years",..,..,..,..,..,..,..,..
"Skorradalshreppur","90 years",2,..,..,..,2,2,..,..
"Skorradalshreppur","91 years",..,..,..,..,..,4,..,..
"Skorradalshreppur","92 years",..,..,..,..,1,..,..,..
"Skorradalshreppur","93 years",1,1,..,..,..,..,..,..
"Skorradalshreppur","94 years",..,3,..,..,1,..,..,..
"Skorradalshreppur","95 years",..,1,..,..,..,..,..,..
"Skorradalshreppur","96 years",..,..,..,..,..,..,..,..
"Skorradalshreppur","97 years",..,..,..,..,..,..,..,..
"Skorradalshreppur","98 years",..,..,..,..,..,..,..,..
"Skorradalshreppur","99 years",..,..,..,..,..,..,..,..
"Skorradalshreppur","100 years",..,..,..,..,..,..,..,..
"Skorradalshreppur","101 years",..,..,..,..,..,..,..,..
"Skorradalshreppur","102 years",..,..,..,..,..,..,..,..
"Skorradalshreppur","103 years",..,..,..,..,..,..,..,..
"Skorradalshreppur","104 years",..,..,..,..,..,..,..,..
"Skorradalshreppur","105 years",..,..,..,..,..,..,..,..
"Skorradalshreppur","106 years",..,..,..,..,..,..,..,..
"Skorradalshreppur","107 years",..,..,..,..,..,..,..,..
"Skorradalshreppur","108 years",..,..,..,..,..,..,..,..
"Hvalfjardarsveit","In 1st year",1,1,..,..,..,1,..,..
"Hvalfjardarsveit","1 years",..,..,..,..,..,..,..,..
"Hvalfjardarsveit","2 years",1,2,..,..,..,..,..,..
"Hvalfjardarsveit","3 years",1,1,..,1,..,2,..,..
"Hvalfjardarsveit","4 years",1,..,..,..,..,1,..,..
"Hvalfjardarsveit","5 years",1,2,..,..,..,2,..,..
"Hvalfjardarsveit","6 years",..,..,..,..,1,..,..,..
"Hvalfjardarsveit","7 years",1,1,..,..,..,..,..,..
"Hvalfjardarsveit","8 years",..,..,..,..,..,1,..,..
"Hvalfjardarsveit","9 years",..,1,..,..,1,1,1,..
"Hvalfjardarsveit","10 years",..,..,1,..,..,..,..,..
"Hvalfjardarsveit","11 years",..,1,..,..,..,..,..,..
"Hvalfjardarsveit","12 years",1,1,..,..,1,2,..,..
"Hvalfjardarsveit","13 years",..,1,..,..,..,..,..,..
"Hvalfjardarsveit","14 years",..,1,..,..,1,1,..,..
"Hvalfjardarsveit","15 years",..,2,..,..,..,..,..,..
"Hvalfjardarsveit","16 years",..,..,..,..,1,1,..,..
"Hvalfjardarsveit","17 years",1,1,1,..,..,..,..,..
"Hvalfjardarsveit","18 years",1,..,1,..,..,2,..,..
"Hvalfjardarsveit","19 years",1,..,..,1,..,..,..,..
"Hvalfjardarsveit","20 years",1,1,..,1,..,1,..,..
"Hvalfjardarsveit","21 years",..,1,..,..,2,1,..,..
"Hvalfjardarsveit","22 years",1,..,..,..,..,..,..,..
"Hvalfjardarsveit","23 years",..,..,2,..,..,..,..,..
"Hvalfjardarsveit","24 years",..,..,..,..,..,2,..,1
"Hvalfjardarsveit","25 years",..,1,1,1,..,..,..,..
"Hvalfjardarsveit","26 years",..,..,..,..,..,1,3,2
"Hvalfjardarsveit","27 years",2,..,..,..,..,..,..,..
"Hvalfjardarsveit","28 years",..,..,..,..,..,1,..,..
"Hvalfjardarsveit","29 years",1,..,..,..,1,..,..,1
"Hvalfjardarsveit","30 years",1,1,..,..,..,..,..,..
"Hvalfjardarsveit","31 years",..,1,..,..,..,2,..,..
"Hvalfjardarsveit","32 years",1,..,..,1,..,..,..,..
"Hvalfjardarsveit","33 years",3,..,..,..,..,..,..,1
"Hvalfjardarsveit","34 years",..,..,1,1,1,..,..,..
"Hvalfjardarsveit","35 years",..,..,..,1,..,..,..,..
"Hvalfjardarsveit","36 years",..,1,1,..,1,..,..,..
"Hvalfjardarsveit","37 years",1,..,..,..,..,..,..,..
"Hvalfjardarsveit","38 years",..,..,..,2,1,1,..,..
"Hvalfjardarsveit","39 years",..,..,..,..,1,..,1,..
"Hvalfjardarsveit","40 years",..,..,..,..,1,1,..,..
"Hvalfjardarsveit","41 years",..,1,1,..,1,..,1,..
"Hvalfjardarsveit","42 years",1,..,..,1,1,1,..,..
"Hvalfjardarsveit","43 years",..,1,1,..,..,..,..,1
"Hvalfjardarsveit","44 years",1,1,1,..,..,..,..,..
"Hvalfjardarsveit","45 years",1,..,..,..,..,1,..,..
"Hvalfjardarsveit","46 years",1,1,..,..,..,..,..,..
"Hvalfjardarsveit","47 years",1,2,..,..,..,..,..,..
"Hvalfjardarsveit","48 years",1,..,..,..,..,..,..,1
"Hvalfjardarsveit","49 years",1,2,..,..,..,..,..,..
"Hvalfjardarsveit","50 years",2,..,..,..,..,..,..,..
"Hvalfjardarsveit","51 years",1,1,..,..,1,..,..,..
"Hvalfjardarsveit","52 years",..,..,..,..,..,1,..,1
"Hvalfjardarsveit","53 years",1,1,..,..,2,1,..,..
"Hvalfjardarsveit","54 years",..,1,..,..,2,..,..,..
"Hvalfjardarsveit","55 years",..,1,..,..,1,2,..,..
"Hvalfjardarsveit","56 years",2,1,..,..,1,3,1,..
"Hvalfjardarsveit","57 years",1,2,..,..,1,1,..,..
"Hvalfjardarsveit","58 years",..,1,1,..,1,2,..,1
"Hvalfjardarsveit","59 years",1,2,..,..,2,..,..,..
"Hvalfjardarsveit","60 years",..,1,1,..,1,1,..,..
"Hvalfjardarsveit","61 years",2,..,..,..,..,..,..,..
"Hvalfjardarsveit","62 years",1,..,..,..,1,2,..,..
"Hvalfjardarsveit","63 years",2,..,..,..,..,1,..,..
"Hvalfjardarsveit","64 years",..,1,..,..,..,..,..,..
"Hvalfjardarsveit","65 years",1,1,..,..,1,1,..,..
"Hvalfjardarsveit","66 years",..,..,..,..,2,1,..,..
"Hvalfjardarsveit","67 years",1,1,..,..,..,..,..,..
"Hvalfjardarsveit","68 years",1,..,..,..,..,3,..,..
"Hvalfjardarsveit","69 years",..,1,..,..,..,..,..,..
"Hvalfjardarsveit","70 years",..,..,..,..,2,..,..,..
"Hvalfjardarsveit","71 years",..,..,..,..,1,..,..,..
"Hvalfjardarsveit","72 years",..,1,..,..,1,..,..,..
"Hvalfjardarsveit","73 years",..,1,..,..,1,..,..,..
"Hvalfjardarsveit","74 years",..,..,..,..,1,1,..,..
"Hvalfjardarsveit","75 years",1,..,..,..,1,..,..,..
"Hvalfjardarsveit","76 years",1,..,..,..,2,1,..,..
"Hvalfjardarsveit","77 years",..,..,..,..,1,..,..,..
"Hvalfjardarsveit","78 years",1,1,..,..,..,1,..,..
"Hvalfjardarsveit","79 years",1,..,..,..,..,..,..,..
"Hvalfjardarsveit","80 years",..,1,..,..,..,..,..,..
"Hvalfjardarsveit","81 years",..,..,..,..,..,1,..,..
"Hvalfjardarsveit","82 years",1,..,..,..,..,1,..,..
"Hvalfjardarsveit","83 years",1,..,..,..,..,..,..,..
"Hvalfjardarsveit","84 years",..,..,..,..,1,..,..,..
"Hvalfjardarsveit","85 years",..,..,..,..,1,..,..,..
"Hvalfjardarsveit","86 years",..,..,..,..,..,..,..,..
"Hvalfjardarsveit","87 years",..,..,..,..,..,..,..,..
"Hvalfjardarsveit","88 years",..,..,..,..,1,..,..,..
"Hvalfjardarsveit","89 years",..,..,..,..,..,..,..,..
"Hvalfjardarsveit","90 years",..,..,..,..,..,..,..,..
"Hvalfjardarsveit","91 years",..,..,..,..,..,..,..,..
"Hvalfjardarsveit","92 years",..,..,..,..,..,..,..,..
"Hvalfjardarsveit","93 years",..,..,..,..,..,..,..,..
"Hvalfjardarsveit","94 years",..,..,..,..,..,..,..,..
"Hvalfjardarsveit","95 years",..,..,..,..,..,..,..,..
"Hvalfjardarsveit","96 years",..,..,..,..,..,..,..,..
"Hvalfjardarsveit","97 years",..,..,..,..,..,..,..,..
"Hvalfjardarsveit","98 years",..,..,..,..,..,..,..,..
"Hvalfjardarsveit","99 years",..,..,..,..,..,..,..,..
"Hvalfjardarsveit","100 years",..,..,..,..,..,..,..,..
"Hvalfjardarsveit","101 years",..,..,..,..,..,..,..,..
"Hvalfjardarsveit","102 years",..,..,..,..,..,..,..,..
"Hvalfjardarsveit","103 years",..,..,..,..,..,..,..,..
"Hvalfjardarsveit","104 years",..,..,..,..,..,..,..,..
"Hvalfjardarsveit","105 years",..,..,..,..,..,..,..,..
"Hvalfjardarsveit","106 years",..,..,..,..,..,..,..,..
"Hvalfjardarsveit","107 years",..,..,..,..,..,..,..,..
