"Municipality","Age","2011 Natives Males","2011 Natives Females","2011 Immigrants Males","2011 Immigrants Females","2021 Natives Males","2021 Natives Females","2021 Immigrants Males","2021 Immigrants Females"
"Reykjavikurborg","87 years",92,184,..,4,123,181,2,3
"Reykjavikurborg","88 years",105,191,1,5,117,173,..,4
"Reykjavikurborg","89 years",82,149,1,4,103,144,4,5
"Reykjavikurborg","90 years",53,141,1,12,72,175,4,5
"Reykjavikurborg","91 years",51,97,..,6,62,145,..,5
"Reykjavikurborg","92 years",31,69,2,6,52,101,1,2
"Reykjavikurborg","93 years",28,70,1,..,47,88,..,7
"Reykjavikurborg","94 years",20,44,1,..,29,84,1,2
"Reykjavikurborg","95 years",15,35,..,2,19,48,..,3
"Reykjavikurborg","96 years",5,29,..,..,12,35,1,1
"Reykjavikurborg","97 years",5,14,..,..,6,29,..,..
"Reykjavikurborg","98 years",2,12,..,1,10,15,1,1
"Reykjavikurborg","99 years",1,4,..,1,3,11,..,3
"Reykjavikurborg","100 years",..,12,..,..,2,6,..,1
"Reykjavikurborg","101 years",..,2,..,..,1,7,..,1
"Reykjavikurborg","102 years",2,4,..,1,1,4,..,..
"Reykjavikurborg","103 years",..,1,..,..,..,4,..,..
"Reykjavikurborg","104 years",..,1,..,..,..,..,..,..
"Reykjavikurborg","105 years",..,2,..,..,..,..,..,..
"Reykjavikurborg","106 years",..,..,..,..,..,..,..,..
"Reykjavikurborg","107 years",..,..,..,..,..,..,..,..
"Reykjavikurborg","108 years",..,..,..,..,..,1,..,..
"Kopavogsbaer","In 1st year",92,78,..,1,135,115,2,..
"Kopavogsbaer","1 years",98,96,..,..,100,117,2,2
"Kopavogsbaer","2 years",112,105,1,..,124,111,2,..
"Kopavogsbaer","3 years",93,98,..,1,105,101,1,2
"Kopavogsbaer","4 years",89,117,..,2,100,111,2,2
"Kopavogsbaer","5 years",101,77,2,1,105,99,1,1
"Kopavogsbaer","6 years",95,111,3,..,121,110,4,..
"Kopavogsbaer","7 years",108,103,1,1,119,99,2,5
"Kopavogsbaer","8 years",96,106,2,2,106,103,1,..
"Kopavogsbaer","9 years",101,103,1,2,119,99,1,2
"Kopavogsbaer","10 years",99,110,2,1,147,126,3,4
"Kopavogsbaer","11 years",104,101,..,2,140,142,1,2
"Kopavogsbaer","12 years",88,91,1,1,118,139,..,1
"Kopavogsbaer","13 years",106,83,..,1,118,139,4,4
"Kopavogsbaer","14 years",95,96,..,4,133,107,5,..
"Kopavogsbaer","15 years",99,94,..,..,120,131,2,1
"Kopavogsbaer","16 years",117,99,1,..,135,124,2,2
"Kopavogsbaer","17 years",100,114,..,3,105,131,2,1
"Kopavogsbaer","18 years",105,91,2,2,115,123,1,5
"Kopavogsbaer","19 years",99,97,2,..,110,127,1,6
