Age_Group,Employment_Status,Background,Education,Year,Sex,Population
35-44,Employed,Immigrants,Basic education,2011,Females,767
35-44,Employed,Immigrants,Basic education,2011,Males,735
35-44,Employed,Immigrants,Basic education,2021,Females,913
35-44,Employed,Immigrants,Basic education,2021,Males,1422
35-44,Employed,Immigrants,Tertiary education,2011,Females,715
35-44,Employed,Immigrants,Tertiary education,2011,Males,487
35-44,Employed,Immigrants,Tertiary education,2021,Females,1664
35-44,Employed,Immigrants,Tertiary education,2021,Males,1289
35-44,Employed,Immigrants,Upper secondary education,2011,Females,774
35-44,Employed,Immigrants,Upper secondary education,2011,Males,1027
35-44,Employed,Immigrants,Upper secondary education,2021,Females,1409
35-44,Employed,Immigrants,Upper secondary education,2021,Males,2324
35-44,Employed,Natives,Basic education,2011,Females,2821
35-44,Employed,Natives,Basic education,2011,Males,4599
35-44,Employed,Natives,Basic education,2021,Females,1391
35-44,Employed,Natives,Basic education,2021,Males,3587
35-44,Employed,Natives,Tertiary education,2011,Females,7860
35-44,Employed,Natives,Tertiary education,2011,Males,5286
35-44,Employed,Natives,Tertiary education,2021,Females,9807
35-44,Employed,Natives,Tertiary education,2021,Males,6606
35-44,Employed,Natives,Upper secondary education,2011,Females,3763
35-44,Employed,Natives,Upper secondary education,2011,Males,6032
35-44,Employed,Natives,Upper secondary education,2021,Females,3136
35-44,Employed,Natives,Upper secondary education,2021,Males,5371
35-44,Not employed,Immigrants,Basic education,2011,Females,201
35-44,Not employed,Immigrants,Basic education,2011,Males,144
35-44,Not employed,Immigrants,Basic education,2021,Females,454
35-44,Not employed,Immigrants,Basic education,2021,Males,697
35-44,Not employed,Immigrants,Tertiary education,2011,Females,171
35-44,Not employed,Immigrants,Tertiary education,2011,Males,99
35-44,Not employed,Immigrants,Tertiary education,2021,Females,726
35-44,Not employed,Immigrants,Tertiary education,2021,Males,603
35-44,Not employed,Immigrants,Upper secondary education,2011,Females,199
35-44,Not employed,Immigrants,Upper secondary education,2011,Males,253
35-44,Not employed,Immigrants,Upper secondary education,2021,Females,624
35-44,Not employed,Immigrants,Upper secondary education,2021,Males,997
35-44,Not employed,Natives,Basic education,2011,Females,1174
35-44,Not employed,Natives,Basic education,2011,Males,1079
35-44,Not employed,Natives,Basic education,2021,Females,1079
35-44,Not employed,Natives,Basic education,2021,Males,1300
35-44,Not employed,Natives,Tertiary education,2011,Females,988
35-44,Not employed,Natives,Tertiary education,2011,Males,380
35-44,Not employed,Natives,Tertiary education,2021,Females,1163
35-44,Not employed,Natives,Tertiary education,2021,Males,537
35-44,Not employed,Natives,Upper secondary education,2011,Females,1085
35-44,Not employed,Natives,Upper secondary education,2011,Males,704
35-44,Not employed,Natives,Upper secondary education,2021,Females,1188
35-44,Not employed,Natives,Upper secondary education,2021,Males,944
45-54,Employed,Immigrants,Basic education,2011,Females,662
45-54,Employed,Immigrants,Basic education,2011,Males,448
45-54,Employed,Immigrants,Basic education,2021,Females,852
45-54,Employed,Immigrants,Basic education,2021,Males,1018
45-54,Employed,Immigrants,Tertiary education,2011,Females,371
45-54,Employed,Immigrants,Tertiary education,2011,Males,228
45-54,Employed,Immigrants,Tertiary education,2021,Females,867
45-54,Employed,Immigrants,Tertiary education,2021,Males,635
45-54,Employed,Immigrants,Upper secondary education,2011,Females,508
45-54,Employed,Immigrants,Upper secondary education,2011,Males,614
45-54,Employed,Immigrants,Upper secondary education,2021,Females,1000
45-54,Employed,Immigrants,Upper secondary education,2021,Males,1518
45-54,Employed,Natives,Basic education,2011,Females,4304
45-54,Employed,Natives,Basic education,2011,Males,4245
45-54,Employed,Natives,Basic education,2021,Females,2240
45-54,Employed,Natives,Basic education,2021,Males,3759
45-54,Employed,Natives,Tertiary education,2011,Females,6465
45-54,Employed,Natives,Tertiary education,2011,Males,4508
45-54,Employed,Natives,Tertiary education,2021,Females,8692
45-54,Employed,Natives,Tertiary education,2021,Males,5852
45-54,Employed,Natives,Upper secondary education,2011,Females,5555
45-54,Employed,Natives,Upper secondary education,2011,Males,8270
45-54,Employed,Natives,Upper secondary education,2021,Females,3685
45-54,Employed,Natives,Upper secondary education,2021,Males,5855
45-54,Not employed,Immigrants,Basic education,2011,Females,165
45-54,Not employed,Immigrants,Basic education,2011,Males,133
45-54,Not employed,Immigrants,Basic education,2021,Females,421
45-54,Not employed,Immigrants,Basic education,2021,Males,462
45-54,Not employed,Immigrants,Tertiary education,2011,Females,81
45-54,Not employed,Immigrants,Tertiary education,2011,Males,59
45-54,Not employed,Immigrants,Tertiary education,2021,Females,322
45-54,Not employed,Immigrants,Tertiary education,2021,Males,295
45-54,Not employed,Immigrants,Upper secondary education,2011,Females,110
45-54,Not employed,Immigrants,Upper secondary education,2011,Males,167
45-54,Not employed,Immigrants,Upper secondary education,2021,Females,410
45-54,Not employed,Immigrants,Upper secondary education,2021,Males,678
45-54,Not employed,Natives,Basic education,2011,Females,1649
45-54,Not employed,Natives,Basic education,2011,Males,1223
45-54,Not employed,Natives,Basic education,2021,Females,1262
45-54,Not employed,Natives,Basic education,2021,Males,1255
45-54,Not employed,Natives,Tertiary education,2011,Females,644
45-54,Not employed,Natives,Tertiary education,2011,Males,412
45-54,Not employed,Natives,Tertiary education,2021,Females,968
45-54,Not employed,Natives,Tertiary education,2021,Males,564
45-54,Not employed,Natives,Upper secondary education,2011,Females,1066
45-54,Not employed,Natives,Upper secondary education,2011,Males,1037
45-54,Not employed,Natives,Upper secondary education,2021,Females,1034
45-54,Not employed,Natives,Upper secondary education,2021,Males,806
55-64,Employed,Immigrants,Basic education,2011,Females,252
55-64,Employed,Immigrants,Basic education,2011,Males,165
55-64,Employed,Immigrants,Basic education,2021,Females,566
55-64,Employed,Immigrants,Basic education,2021,Males,469
55-64,Employed,Immigrants,Tertiary education,2011,Females,139
55-64,Employed,Immigrants,Tertiary education,2011,Males,147
55-64,Employed,Immigrants,Tertiary education,2021,Females,347
55-64,Employed,Immigrants,Tertiary education,2021,Males,250
55-64,Employed,Immigrants,Upper secondary education,2011,Females,198
55-64,Employed,Immigrants,Upper secondary education,2011,Males,275
55-64,Employed,Immigrants,Upper secondary education,2021,Females,386
55-64,Employed,Immigrants,Upper secondary education,2021,Males,662
55-64,Employed,Natives,Basic education,2011,Females,5258
55-64,Employed,Natives,Basic education,2011,Males,3302
55-64,Employed,Natives,Basic education,2021,Females,3340
55-64,Employed,Natives,Basic education,2021,Males,3341
55-64,Employed,Natives,Tertiary education,2011,Females,3431
55-64,Employed,Natives,Tertiary education,2011,Males,3538
55-64,Employed,Natives,Tertiary education,2021,Females,6163
55-64,Employed,Natives,Tertiary education,2021,Males,4570
55-64,Employed,Natives,Upper secondary education,2011,Females,4047
55-64,Employed,Natives,Upper secondary education,2011,Males,7104
55-64,Employed,Natives,Upper secondary education,2021,Females,4777
55-64,Employed,Natives,Upper secondary education,2021,Males,7346
55-64,Not employed,Immigrants,Basic education,2011,Females,105
55-64,Not employed,Immigrants,Basic education,2011,Males,82
55-64,Not employed,Immigrants,Basic education,2021,Females,386
55-64,Not employed,Immigrants,Basic education,2021,Males,278
55-64,Not employed,Immigrants,Tertiary education,2011,Females,58
55-64,Not employed,Immigrants,Tertiary education,2011,Males,47
55-64,Not employed,Immigrants,Tertiary education,2021,Females,160
55-64,Not employed,Immigrants,Tertiary education,2021,Males,125
55-64,Not employed,Immigrants,Upper secondary education,2011,Females,70
55-64,Not employed,Immigrants,Upper secondary education,2011,Males,98
55-64,Not employed,Immigrants,Upper secondary education,2021,Females,275
55-64,Not employed,Immigrants,Upper secondary education,2021,Males,391
55-64,Not employed,Natives,Basic education,2011,Females,2318
55-64,Not employed,Natives,Basic education,2011,Males,1177
55-64,Not employed,Natives,Basic education,2021,Females,2255
55-64,Not employed,Natives,Basic education,2021,Males,1481
55-64,Not employed,Natives,Tertiary education,2011,Females,503
55-64,Not employed,Natives,Tertiary education,2011,Males,437
55-64,Not employed,Natives,Tertiary education,2021,Females,1015
55-64,Not employed,Natives,Tertiary education,2021,Males,621
55-64,Not employed,Natives,Upper secondary education,2011,Females,1036
55-64,Not employed,Natives,Upper secondary education,2011,Males,1381
55-64,Not employed,Natives,Upper secondary education,2021,Females,1499
55-64,Not employed,Natives,Upper secondary education,2021,Males,1577
65 and over,Employed,Immigrants,Basic education,2011,Females,41
65 and over,Employed,Immigrants,Basic education,2011,Males,36
65 and over,Employed,Immigrants,Basic education,2021,Females,78
65 and over,Employed,Immigrants,Basic education,2021,Males,75
65 and over,Employed,Immigrants,Tertiary education,2011,Females,29
65 and over,Employed,Immigrants,Tertiary education,2011,Males,33
65 and over,Employed,Immigrants,Tertiary education,2021,Females,78
65 and over,Employed,Immigrants,Tertiary education,2021,Males,91
65 and over,Employed,Immigrants,Upper secondary education,2011,Females,28
65 and over,Employed,Immigrants,Upper secondary education,2011,Males,32
65 and over,Employed,Immigrants,Upper secondary education,2021,Females,81
65 and over,Employed,Immigrants,Upper secondary education,2021,Males,117
65 and over,Employed,Natives,Basic education,2011,Females,1648
65 and over,Employed,Natives,Basic education,2011,Males,1327
65 and over,Employed,Natives,Basic education,2021,Females,1607
65 and over,Employed,Natives,Basic education,2021,Males,1643
65 and over,Employed,Natives,Tertiary education,2011,Females,433
65 and over,Employed,Natives,Tertiary education,2011,Males,1014
65 and over,Employed,Natives,Tertiary education,2021,Females,1628
65 and over,Employed,Natives,Tertiary education,2021,Males,2408
65 and over,Employed,Natives,Upper secondary education,2011,Females,797
65 and over,Employed,Natives,Upper secondary education,2011,Males,2420
65 and over,Employed,Natives,Upper secondary education,2021,Females,1410
65 and over,Employed,Natives,Upper secondary education,2021,Males,3771
65 and over,Not employed,Immigrants,Basic education,2011,Females,291
65 and over,Not employed,Immigrants,Basic education,2011,Males,106
65 and over,Not employed,Immigrants,Basic education,2021,Females,433
65 and over,Not employed,Immigrants,Basic education,2021,Males,193
65 and over,Not employed,Immigrants,Tertiary education,2011,Females,86
65 and over,Not employed,Immigrants,Tertiary education,2011,Males,50
65 and over,Not employed,Immigrants,Tertiary education,2021,Females,205
65 and over,Not employed,Immigrants,Tertiary education,2021,Males,140
65 and over,Not employed,Immigrants,Upper secondary education,2011,Females,191
65 and over,Not employed,Immigrants,Upper secondary education,2011,Males,107
65 and over,Not employed,Immigrants,Upper secondary education,2021,Females,303
65 and over,Not employed,Immigrants,Upper secondary education,2021,Males,248
65 and over,Not employed,Natives,Basic education,2011,Females,13718
65 and over,Not employed,Natives,Basic education,2011,Males,5075
65 and over,Not employed,Natives,Basic education,2021,Females,13850
65 and over,Not employed,Natives,Basic education,2021,Males,5334
65 and over,Not employed,Natives,Tertiary education,2011,Females,1115
65 and over,Not employed,Natives,Tertiary education,2011,Males,1625
65 and over,Not employed,Natives,Tertiary education,2021,Females,3021
65 and over,Not employed,Natives,Tertiary education,2021,Males,2978
65 and over,Not employed,Natives,Upper secondary education,2011,Females,3263
65 and over,Not employed,Natives,Upper secondary education,2011,Males,6817
65 and over,Not employed,Natives,Upper secondary education,2021,Females,5480
65 and over,Not employed,Natives,Upper secondary education,2021,Males,9008
