Municipality,Age_Group,Background,Year,Sex,Population
Akureyrarbaer,0-15,Natives,2021,Females,0
Akureyrarbaer,0-15,Natives,2021,Males,0
Akureyrarbaer,16-24,Immigrants,2011,Females,0
Akureyrarbaer,16-24,Immigrants,2011,Males,0
Akureyrarbaer,16-24,Immigrants,2021,Females,0
Akureyrarbaer,16-24,Immigrants,2021,Males,0
Akureyrarbaer,16-24,Natives,2011,Females,2
Akureyrarbaer,16-24,Natives,2011,Males,2
Akureyrarbaer,16-24,Natives,2021,Females,2
Akureyrarbaer,16-24,Natives,2021,Males,1
Akureyrarbaer,25-34,Immigrants,2011,Females,0
Akureyrarbaer,25-34,Immigrants,2011,Males,0
Akureyrarbaer,25-34,Immigrants,2021,Females,1
Akureyrarbaer,25-34,Immigrants,2021,Males,0
Akureyrarbaer,25-34,Natives,2011,Females,3
Akureyrarbaer,25-34,Natives,2011,Males,2
Akureyrarbaer,25-34,Natives,2021,Females,0
Akureyrarbaer,25-34,Natives,2021,Males,0
Akureyrarbaer,35-44,Immigrants,2011,Females,0
Akureyrarbaer,35-44,Immigrants,2011,Males,1
Akureyrarbaer,35-44,Immigrants,2021,Females,0
Akureyrarbaer,35-44,Immigrants,2021,Males,1
Akureyrarbaer,35-44,Natives,2011,Females,2
Akureyrarbaer,35-44,Natives,2011,Males,6
Akureyrarbaer,35-44,Natives,2021,Females,2
Akureyrarbaer,35-44,Natives,2021,Males,1
Akureyrarbaer,45-54,Immigrants,2011,Females,0
Akureyrarbaer,45-54,Immigrants,2011,Males,0
Akureyrarbaer,45-54,Immigrants,2021,Females,0
Akureyrarbaer,45-54,Immigrants,2021,Males,0
Akureyrarbaer,45-54,Natives,2011,Females,5
Akureyrarbaer,45-54,Natives,2011,Males,2
Akureyrarbaer,45-54,Natives,2021,Females,0
Akureyrarbaer,45-54,Natives,2021,Males,2
Akureyrarbaer,55-64,Immigrants,2011,Females,0
Akureyrarbaer,55-64,Immigrants,2011,Males,0
Akureyrarbaer,55-64,Immigrants,2021,Females,0
Akureyrarbaer,55-64,Immigrants,2021,Males,0
Akureyrarbaer,55-64,Natives,2011,Females,4
Akureyrarbaer,55-64,Natives,2011,Males,6
Akureyrarbaer,55-64,Natives,2021,Females,5
Akureyrarbaer,55-64,Natives,2021,Males,4
Akureyrarbaer,65 and over,Immigrants,2011,Females,0
Akureyrarbaer,65 and over,Immigrants,2011,Males,0
Akureyrarbaer,65 and over,Immigrants,2021,Females,0
Akureyrarbaer,65 and over,Immigrants,2021,Males,0
Akureyrarbaer,65 and over,Natives,2011,Females,2
Akureyrarbaer,65 and over,Natives,2011,Males,7
Akureyrarbaer,65 and over,Natives,2021,Females,5
Akureyrarbaer,65 and over,Natives,2021,Males,13
Arneshreppur,0-15,Immigrants,2011,Females,0
Arneshreppur,0-15,Immigrants,2011,Males,1
Arneshreppur,0-15,Immigrants,2021,Females,2
Arneshreppur,0-15,Immigrants,2021,Males,1
Arneshreppur,0-15,Natives,2011,Females,39
Arneshreppur,0-15,Natives,2011,Males,25
Arneshreppur,0-15,Natives,2021,Females,34
Arneshreppur,0-15,Natives,2021,Males,56
Arneshreppur,16-24,Immigrants,2011,Females,3
Arneshreppur,16-24,Immigrants,2011,Males,2
Arneshreppur,16-24,Immigrants,2021,Females,6
Arneshreppur,16-24,Immigrants,2021,Males,8
Arneshreppur,16-24,Natives,2011,Females,20
Arneshreppur,16-24,Natives,2011,Males,25
Arneshreppur,16-24,Natives,2021,Females,19
Arneshreppur,16-24,Natives,2021,Males,13
Arneshreppur,25-34,Immigrants,2011,Females,2
Arneshreppur,25-34,Immigrants,2011,Males,3
Arneshreppur,25-34,Immigrants,2021,Females,41
Arneshreppur,25-34,Immigrants,2021,Males,47
Arneshreppur,25-34,Natives,2011,Females,15
Arneshreppur,25-34,Natives,2011,Males,29
Arneshreppur,25-34,Natives,2021,Females,17
Arneshreppur,25-34,Natives,2021,Males,21
Arneshreppur,35-44,Immigrants,2011,Females,3
Arneshreppur,35-44,Immigrants,2011,Males,1
Arneshreppur,35-44,Immigrants,2021,Females,13
Arneshreppur,35-44,Immigrants,2021,Males,13
Arneshreppur,35-44,Natives,2011,Females,17
Arneshreppur,35-44,Natives,2011,Males,19
Arneshreppur,35-44,Natives,2021,Females,24
Arneshreppur,35-44,Natives,2021,Males,23
Arneshreppur,45-54,Immigrants,2011,Females,0
Arneshreppur,45-54,Immigrants,2011,Males,1
Arneshreppur,45-54,Immigrants,2021,Females,6
Arneshreppur,45-54,Immigrants,2021,Males,4
Arneshreppur,45-54,Natives,2011,Females,26
Arneshreppur,45-54,Natives,2011,Males,22
Arneshreppur,45-54,Natives,2021,Females,17
Arneshreppur,45-54,Natives,2021,Males,13
Arneshreppur,55-64,Immigrants,2011,Females,0
Arneshreppur,55-64,Immigrants,2011,Males,0
Arneshreppur,55-64,Immigrants,2021,Females,3
Arneshreppur,55-64,Immigrants,2021,Males,6
Arneshreppur,55-64,Natives,2011,Females,34
Arneshreppur,55-64,Natives,2011,Males,41
Arneshreppur,55-64,Natives,2021,Females,32
Arneshreppur,55-64,Natives,2021,Males,27
Arneshreppur,65 and over,Immigrants,2011,Females,1
