Municipality,Age_Group,Background,Year,Sex,Population
Gardabaer,65 and over,Immigrants,2021,Males,1
Gardabaer,65 and over,Natives,2011,Females,12
Gardabaer,65 and over,Natives,2011,Males,13
Gardabaer,65 and over,Natives,2021,Females,21
Gardabaer,65 and over,Natives,2021,Males,25
Grimsnes- og Grafningshreppur,0-15,Immigrants,2011,Females,0
Grimsnes- og Grafningshreppur,0-15,Immigrants,2011,Males,0
Grimsnes- og Grafningshreppur,0-15,Immigrants,2021,Females,0
Grimsnes- og Grafningshreppur,0-15,Immigrants,2021,Males,0
Grimsnes- og Grafningshreppur,0-15,Natives,2011,Females,0
Grimsnes- og Grafningshreppur,0-15,Natives,2011,Males,0
Grimsnes- og Grafningshreppur,0-15,Natives,2021,Females,2
Grimsnes- og Grafningshreppur,0-15,Natives,2021,Males,0
Grimsnes- og Grafningshreppur,16-24,Immigrants,2011,Females,0
Grimsnes- og Grafningshreppur,16-24,Immigrants,2011,Males,0
Grimsnes- og Grafningshreppur,16-24,Immigrants,2021,Females,1
Grimsnes- og Grafningshreppur,16-24,Immigrants,2021,Males,1
Grimsnes- og Grafningshreppur,16-24,Natives,2011,Females,2
Grimsnes- og Grafningshreppur,16-24,Natives,2011,Males,3
Grimsnes- og Grafningshreppur,16-24,Natives,2021,Females,2
Grimsnes- og Grafningshreppur,16-24,Natives,2021,Males,1
Grimsnes- og Grafningshreppur,25-34,Immigrants,2011,Females,0
Grimsnes- og Grafningshreppur,25-34,Immigrants,2011,Males,0
Grimsnes- og Grafningshreppur,25-34,Immigrants,2021,Females,0
Grimsnes- og Grafningshreppur,25-34,Immigrants,2021,Males,0
Grimsnes- og Grafningshreppur,25-34,Natives,2011,Females,0
Grimsnes- og Grafningshreppur,25-34,Natives,2011,Males,2
Grimsnes- og Grafningshreppur,25-34,Natives,2021,Females,0
Grimsnes- og Grafningshreppur,25-34,Natives,2021,Males,2
Grimsnes- og Grafningshreppur,35-44,Immigrants,2011,Females,0
Grimsnes- og Grafningshreppur,35-44,Immigrants,2011,Males,0
Grimsnes- og Grafningshreppur,35-44,Immigrants,2021,Females,0
Grimsnes- og Grafningshreppur,35-44,Immigrants,2021,Males,0
Grimsnes- og Grafningshreppur,35-44,Natives,2011,Females,0
Grimsnes- og Grafningshreppur,35-44,Natives,2011,Males,3
Grimsnes- og Grafningshreppur,35-44,Natives,2021,Females,2
Grimsnes- og Grafningshreppur,35-44,Natives,2021,Males,1
Grimsnes- og Grafningshreppur,45-54,Immigrants,2011,Females,0
Grimsnes- og Grafningshreppur,45-54,Immigrants,2011,Males,0
Grimsnes- og Grafningshreppur,45-54,Immigrants,2021,Females,0
Grimsnes- og Grafningshreppur,45-54,Immigrants,2021,Males,0
Grimsnes- og Grafningshreppur,45-54,Natives,2011,Females,2
Grimsnes- og Grafningshreppur,45-54,Natives,2011,Males,1
Grimsnes- og Grafningshreppur,45-54,Natives,2021,Females,2
Grimsnes- og Grafningshreppur,45-54,Natives,2021,Males,3
Grimsnes- og Grafningshreppur,55-64,Immigrants,2011,Females,0
Grimsnes- og Grafningshreppur,55-64,Immigrants,2011,Males,0
Grimsnes- og Grafningshreppur,55-64,Immigrants,2021,Females,1
Grimsnes- og Grafningshreppur,55-64,Immigrants,2021,Males,0
Grimsnes- og Grafningshreppur,55-64,Natives,2011,Females,6
Grimsnes- og Grafningshreppur,55-64,Natives,2011,Males,5
Grimsnes- og Grafningshreppur,55-64,Natives,2021,Females,5
Grimsnes- og Grafningshreppur,55-64,Natives,2021,Males,6
Grimsnes- og Grafningshreppur,65 and over,Immigrants,2011,Females,0
Grimsnes- og Grafningshreppur,65 and over,Immigrants,2011,Males,0
Grimsnes- og Grafningshreppur,65 and over,Immigrants,2021,Females,0
Grimsnes- og Grafningshreppur,65 and over,Immigrants,2021,Males,0
Grimsnes- og Grafningshreppur,65 and over,Natives,2011,Females,9
Grimsnes- og Grafningshreppur,65 and over,Natives,2011,Males,10
Grimsnes- og Grafningshreppur,65 and over,Natives,2021,Females,12
Grimsnes- og Grafningshreppur,65 and over,Natives,2021,Males,12
Grindavikurbaer,0-15,Immigrants,2011,Females,10
Grindavikurbaer,0-15,Immigrants,2011,Males,16
Grindavikurbaer,0-15,Immigrants,2021,Females,18
Grindavikurbaer,0-15,Immigrants,2021,Males,27
Grindavikurbaer,0-15,Natives,2011,Females,932
Grindavikurbaer,0-15,Natives,2011,Males,966
Grindavikurbaer,0-15,Natives,2021,Females,1096
Grindavikurbaer,0-15,Natives,2021,Males,1186
Grindavikurbaer,16-24,Immigrants,2011,Females,32
Grindavikurbaer,16-24,Immigrants,2011,Males,27
Grindavikurbaer,16-24,Immigrants,2021,Females,43
Grindavikurbaer,16-24,Immigrants,2021,Males,48
Grindavikurbaer,16-24,Natives,2011,Females,444
Grindavikurbaer,16-24,Natives,2011,Males,517
Grindavikurbaer,16-24,Natives,2021,Females,558
Grindavikurbaer,16-24,Natives,2021,Males,556
Grindavikurbaer,25-34,Immigrants,2011,Females,53
Grindavikurbaer,25-34,Immigrants,2011,Males,46
Grindavikurbaer,25-34,Immigrants,2021,Females,120
Grindavikurbaer,25-34,Immigrants,2021,Males,122
Grindavikurbaer,25-34,Natives,2011,Females,386
Grindavikurbaer,25-34,Natives,2011,Males,436
Grindavikurbaer,25-34,Natives,2021,Females,531
Grindavikurbaer,25-34,Natives,2021,Males,576
Grindavikurbaer,35-44,Immigrants,2011,Females,54
Grindavikurbaer,35-44,Immigrants,2011,Males,36
Grindavikurbaer,35-44,Immigrants,2021,Females,98
Grindavikurbaer,35-44,Immigrants,2021,Males,117
Grindavikurbaer,35-44,Natives,2011,Females,452
Grindavikurbaer,35-44,Natives,2011,Males,475
Grindavikurbaer,35-44,Natives,2021,Females,554
Grindavikurbaer,35-44,Natives,2021,Males,554
Grindavikurbaer,45-54,Immigrants,2011,Females,28
Grindavikurbaer,45-54,Immigrants,2011,Males,24
Grindavikurbaer,45-54,Immigrants,2021,Females,84
Grindavikurbaer,45-54,Immigrants,2021,Males,75
Grindavikurbaer,45-54,Natives,2011,Females,462
Grindavikurbaer,45-54,Natives,2011,Males,489
Grindavikurbaer,45-54,Natives,2021,Females,540
Grindavikurbaer,45-54,Natives,2021,Males,548
Grindavikurbaer,55-64,Immigrants,2011,Females,16
Grindavikurbaer,55-64,Immigrants,2011,Males,9
Grindavikurbaer,55-64,Immigrants,2021,Females,33
Grindavikurbaer,55-64,Immigrants,2021,Males,42
Grindavikurbaer,55-64,Natives,2011,Females,397
Grindavikurbaer,55-64,Natives,2011,Males,443
Grindavikurbaer,55-64,Natives,2021,Females,518
Grindavikurbaer,55-64,Natives,2021,Males,513
Grindavikurbaer,65 and over,Immigrants,2011,Females,18
Grindavikurbaer,65 and over,Immigrants,2011,Males,10
Grindavikurbaer,65 and over,Immigrants,2021,Females,29
Grindavikurbaer,65 and over,Immigrants,2021,Males,15
Grindavikurbaer,65 and over,Natives,2011,Females,517
Grindavikurbaer,65 and over,Natives,2011,Males,491
Grindavikurbaer,65 and over,Natives,2021,Females,834
Grindavikurbaer,65 and over,Natives,2021,Males,823
Grundarfjardarbaer,0-15,Immigrants,2011,Females,6
Grundarfjardarbaer,0-15,Immigrants,2011,Males,8
Grundarfjardarbaer,0-15,Immigrants,2021,Females,11
Grundarfjardarbaer,0-15,Immigrants,2021,Males,11
Grundarfjardarbaer,0-15,Natives,2011,Females,335
Grundarfjardarbaer,0-15,Natives,2011,Males,375
Grundarfjardarbaer,0-15,Natives,2021,Females,370
Grundarfjardarbaer,0-15,Natives,2021,Males,437
Grundarfjardarbaer,16-24,Immigrants,2011,Females,9
Grundarfjardarbaer,16-24,Immigrants,2011,Males,18
Grundarfjardarbaer,16-24,Immigrants,2021,Females,41
Grundarfjardarbaer,16-24,Immigrants,2021,Males,42
Grundarfjardarbaer,16-24,Natives,2011,Females,144
Grundarfjardarbaer,16-24,Natives,2011,Males,168
Grundarfjardarbaer,16-24,Natives,2021,Females,155
Grundarfjardarbaer,16-24,Natives,2021,Males,184
Grundarfjardarbaer,25-34,Immigrants,2011,Females,39
Grundarfjardarbaer,25-34,Immigrants,2011,Males,33
Grundarfjardarbaer,25-34,Immigrants,2021,Females,81
Grundarfjardarbaer,25-34,Immigrants,2021,Males,113
Grundarfjardarbaer,25-34,Natives,2011,Females,159
Grundarfjardarbaer,25-34,Natives,2011,Males,131
Grundarfjardarbaer,25-34,Natives,2021,Females,163
Grundarfjardarbaer,25-34,Natives,2021,Males,165
Grundarfjardarbaer,35-44,Immigrants,2011,Females,27
Grundarfjardarbaer,35-44,Immigrants,2011,Males,43
Grundarfjardarbaer,35-44,Immigrants,2021,Females,68
Grundarfjardarbaer,35-44,Immigrants,2021,Males,72
Grundarfjardarbaer,35-44,Natives,2011,Females,172
Grundarfjardarbaer,35-44,Natives,2011,Males,178
Grundarfjardarbaer,35-44,Natives,2021,Females,182
Grundarfjardarbaer,35-44,Natives,2021,Males,163
Grundarfjardarbaer,45-54,Immigrants,2011,Females,30
Grundarfjardarbaer,45-54,Immigrants,2011,Males,21
Grundarfjardarbaer,45-54,Immigrants,2021,Females,48
Grundarfjardarbaer,45-54,Immigrants,2021,Males,74
Grundarfjardarbaer,45-54,Natives,2011,Females,157
Grundarfjardarbaer,45-54,Natives,2011,Males,177
Grundarfjardarbaer,45-54,Natives,2021,Females,146
Grundarfjardarbaer,45-54,Natives,2021,Males,164
Grundarfjardarbaer,55-64,Immigrants,2011,Females,5
Grundarfjardarbaer,55-64,Immigrants,2011,Males,10
Grundarfjardarbaer,55-64,Immigrants,2021,Females,30
Grundarfjardarbaer,55-64,Immigrants,2021,Males,31
Grundarfjardarbaer,55-64,Natives,2011,Females,115
Grundarfjardarbaer,55-64,Natives,2011,Males,123
Grundarfjardarbaer,55-64,Natives,2021,Females,158
Grundarfjardarbaer,55-64,Natives,2021,Males,168
Grundarfjardarbaer,65 and over,Immigrants,2011,Females,3
Grundarfjardarbaer,65 and over,Immigrants,2011,Males,1
Grundarfjardarbaer,65 and over,Immigrants,2021,Females,7
Grundarfjardarbaer,65 and over,Immigrants,2021,Males,10
Grundarfjardarbaer,65 and over,Natives,2011,Females,125
Grundarfjardarbaer,65 and over,Natives,2011,Males,140
Grundarfjardarbaer,65 and over,Natives,2021,Females,174
Grundarfjardarbaer,65 and over,Natives,2021,Males,177
Grytubakkahreppur,0-15,Immigrants,2011,Females,0
Grytubakkahreppur,0-15,Immigrants,2011,Males,0
Grytubakkahreppur,0-15,Immigrants,2021,Females,0
Grytubakkahreppur,0-15,Immigrants,2021,Males,0
Grytubakkahreppur,0-15,Natives,2011,Females,2
Grytubakkahreppur,0-15,Natives,2011,Males,10
Grytubakkahreppur,0-15,Natives,2021,Females,0
Grytubakkahreppur,0-15,Natives,2021,Males,2
Grytubakkahreppur,16-24,Immigrants,2011,Females,0
Grytubakkahreppur,16-24,Immigrants,2011,Males,0
Grytubakkahreppur,16-24,Immigrants,2021,Females,0
Grytubakkahreppur,16-24,Immigrants,2021,Males,0
Grytubakkahreppur,16-24,Natives,2011,Females,2
Grytubakkahreppur,16-24,Natives,2011,Males,3
Grytubakkahreppur,16-24,Natives,2021,Females,3
Grytubakkahreppur,16-24,Natives,2021,Males,8
Grytubakkahreppur,25-34,Immigrants,2011,Females,0
Grytubakkahreppur,25-34,Immigrants,2011,Males,0
Grytubakkahreppur,25-34,Immigrants,2021,Females,1
Grytubakkahreppur,25-34,Immigrants,2021,Males,11
Grytubakkahreppur,25-34,Natives,2011,Females,1
Grytubakkahreppur,25-34,Natives,2011,Males,2
Grytubakkahreppur,25-34,Natives,2021,Females,2
Grytubakkahreppur,25-34,Natives,2021,Males,6
Grytubakkahreppur,35-44,Immigrants,2011,Females,0
Grytubakkahreppur,35-44,Immigrants,2011,Males,0
Grytubakkahreppur,35-44,Immigrants,2021,Females,2
Grytubakkahreppur,35-44,Immigrants,2021,Males,1
Grytubakkahreppur,35-44,Natives,2011,Females,2
Grytubakkahreppur,35-44,Natives,2011,Males,4
Grytubakkahreppur,35-44,Natives,2021,Females,1
Grytubakkahreppur,35-44,Natives,2021,Males,5
Grytubakkahreppur,45-54,Immigrants,2011,Females,0
Grytubakkahreppur,45-54,Immigrants,2011,Males,0
Grytubakkahreppur,45-54,Immigrants,2021,Females,1
Grytubakkahreppur,45-54,Immigrants,2021,Males,1
Grytubakkahreppur,45-54,Natives,2011,Females,9
Grytubakkahreppur,45-54,Natives,2011,Males,10
Grytubakkahreppur,45-54,Natives,2021,Females,2
Grytubakkahreppur,45-54,Natives,2021,Males,6
Grytubakkahreppur,55-64,Immigrants,2011,Females,0
Grytubakkahreppur,55-64,Immigrants,2011,Males,0
Grytubakkahreppur,55-64,Immigrants,2021,Females,0
Grytubakkahreppur,55-64,Immigrants,2021,Males,1
Grytubakkahreppur,55-64,Natives,2011,Females,4
Grytubakkahreppur,55-64,Natives,2011,Males,8
Grytubakkahreppur,55-64,Natives,2021,Females,9
Grytubakkahreppur,55-64,Natives,2021,Males,11
Grytubakkahreppur,65 and over,Immigrants,2011,Females,0
Grytubakkahreppur,65 and over,Immigrants,2011,Males,0
Grytubakkahreppur,65 and over,Immigrants,2021,Females,0
Grytubakkahreppur,65 and over,Immigrants,2021,Males,1
Grytubakkahreppur,65 and over,Natives,2011,Females,2
Grytubakkahreppur,65 and over,Natives,2011,Males,4
Grytubakkahreppur,65 and over,Natives,2021,Females,6
Grytubakkahreppur,65 and over,Natives,2021,Males,10
Hafnarfjardarkaupstadur,0-15,Immigrants,2011,Females,70
Hafnarfjardarkaupstadur,0-15,Immigrants,2011,Males,81
Hafnarfjardarkaupstadur,0-15,Immigrants,2021,Females,118
Hafnarfjardarkaupstadur,0-15,Immigrants,2021,Males,119
Hafnarfjardarkaupstadur,0-15,Natives,2011,Females,3436
Hafnarfjardarkaupstadur,0-15,Natives,2011,Males,3711
Hafnarfjardarkaupstadur,0-15,Natives,2021,Females,3642
Hafnarfjardarkaupstadur,0-15,Natives,2021,Males,4027
Hafnarfjardarkaupstadur,16-24,Immigrants,2011,Females,118
Hafnarfjardarkaupstadur,16-24,Immigrants,2011,Males,103
Hafnarfjardarkaupstadur,16-24,Immigrants,2021,Females,199
Hafnarfjardarkaupstadur,16-24,Immigrants,2021,Males,213
Hafnarfjardarkaupstadur,16-24,Natives,2011,Females,1725
Hafnarfjardarkaupstadur,16-24,Natives,2011,Males,1787
Hafnarfjardarkaupstadur,16-24,Natives,2021,Females,1840
Hafnarfjardarkaupstadur,16-24,Natives,2021,Males,1981
Hafnarfjardarkaupstadur,25-34,Immigrants,2011,Females,379
Hafnarfjardarkaupstadur,25-34,Immigrants,2011,Males,333
Hafnarfjardarkaupstadur,25-34,Immigrants,2021,Females,529
Hafnarfjardarkaupstadur,25-34,Immigrants,2021,Males,611
Hafnarfjardarkaupstadur,25-34,Natives,2011,Females,1774
Hafnarfjardarkaupstadur,25-34,Natives,2011,Males,1778
Hafnarfjardarkaupstadur,25-34,Natives,2021,Females,1936
Hafnarfjardarkaupstadur,25-34,Natives,2021,Males,2060
Hafnarfjardarkaupstadur,35-44,Immigrants,2011,Females,213
Hafnarfjardarkaupstadur,35-44,Immigrants,2011,Males,229
Hafnarfjardarkaupstadur,35-44,Immigrants,2021,Females,535
Hafnarfjardarkaupstadur,35-44,Immigrants,2021,Males,659
Hafnarfjardarkaupstadur,35-44,Natives,2011,Females,1888
Hafnarfjardarkaupstadur,35-44,Natives,2011,Males,1906
Hafnarfjardarkaupstadur,35-44,Natives,2021,Females,1968
Hafnarfjardarkaupstadur,35-44,Natives,2021,Males,1997
Hafnarfjardarkaupstadur,45-54,Immigrants,2011,Females,171
Hafnarfjardarkaupstadur,45-54,Immigrants,2011,Males,135
Hafnarfjardarkaupstadur,45-54,Immigrants,2021,Females,337
Hafnarfjardarkaupstadur,45-54,Immigrants,2021,Males,467
Hafnarfjardarkaupstadur,45-54,Natives,2011,Females,1899
Hafnarfjardarkaupstadur,45-54,Natives,2011,Males,1836
Hafnarfjardarkaupstadur,45-54,Natives,2021,Females,2029
Hafnarfjardarkaupstadur,45-54,Natives,2021,Males,1998
Hafnarfjardarkaupstadur,55-64,Immigrants,2011,Females,66
Hafnarfjardarkaupstadur,55-64,Immigrants,2011,Males,67
Hafnarfjardarkaupstadur,55-64,Immigrants,2021,Females,199
Hafnarfjardarkaupstadur,55-64,Immigrants,2021,Males,208
Hafnarfjardarkaupstadur,55-64,Natives,2011,Females,1630
Hafnarfjardarkaupstadur,55-64,Natives,2011,Males,1516
Hafnarfjardarkaupstadur,55-64,Natives,2021,Females,2012
Hafnarfjardarkaupstadur,55-64,Natives,2021,Males,1889
Hafnarfjardarkaupstadur,65 and over,Immigrants,2011,Females,54
Hafnarfjardarkaupstadur,65 and over,Immigrants,2011,Males,25
Hafnarfjardarkaupstadur,65 and over,Immigrants,2021,Females,108
Hafnarfjardarkaupstadur,65 and over,Immigrants,2021,Males,69
Hafnarfjardarkaupstadur,65 and over,Natives,2011,Females,2044
Hafnarfjardarkaupstadur,65 and over,Natives,2011,Males,1697
Hafnarfjardarkaupstadur,65 and over,Natives,2021,Females,3017
Hafnarfjardarkaupstadur,65 and over,Natives,2021,Males,2599
Helgafellssveit,0-15,Immigrants,2011,Females,3
Helgafellssveit,0-15,Immigrants,2011,Males,0
Helgafellssveit,0-15,Immigrants,2021,Females,3
Helgafellssveit,0-15,Immigrants,2021,Males,5
Helgafellssveit,0-15,Natives,2011,Females,27
Helgafellssveit,0-15,Natives,2011,Males,43
Helgafellssveit,0-15,Natives,2021,Females,33
Helgafellssveit,0-15,Natives,2021,Males,40
Helgafellssveit,16-24,Immigrants,2011,Females,3
Helgafellssveit,16-24,Immigrants,2011,Males,2
Helgafellssveit,16-24,Immigrants,2021,Females,1
Helgafellssveit,16-24,Immigrants,2021,Males,1
Helgafellssveit,16-24,Natives,2011,Females,16
Helgafellssveit,16-24,Natives,2011,Males,28
Helgafellssveit,16-24,Natives,2021,Females,12
Helgafellssveit,16-24,Natives,2021,Males,26
Helgafellssveit,25-34,Immigrants,2011,Females,12
Helgafellssveit,25-34,Immigrants,2011,Males,3
Helgafellssveit,25-34,Immigrants,2021,Females,14
Helgafellssveit,25-34,Immigrants,2021,Males,13
Helgafellssveit,25-34,Natives,2011,Females,9
Helgafellssveit,25-34,Natives,2011,Males,23
Helgafellssveit,25-34,Natives,2021,Females,24
Helgafellssveit,25-34,Natives,2021,Males,30
Helgafellssveit,35-44,Immigrants,2011,Females,1
Helgafellssveit,35-44,Immigrants,2011,Males,2
Helgafellssveit,35-44,Immigrants,2021,Females,11
Helgafellssveit,35-44,Immigrants,2021,Males,9
Helgafellssveit,35-44,Natives,2011,Females,22
Helgafellssveit,35-44,Natives,2011,Males,21
Helgafellssveit,35-44,Natives,2021,Females,16
Helgafellssveit,35-44,Natives,2021,Males,22
Helgafellssveit,45-54,Immigrants,2011,Females,2
Helgafellssveit,45-54,Immigrants,2011,Males,1
Helgafellssveit,45-54,Immigrants,2021,Females,7
Helgafellssveit,45-54,Immigrants,2021,Males,3
Helgafellssveit,45-54,Natives,2011,Females,34
Helgafellssveit,45-54,Natives,2011,Males,35
Helgafellssveit,45-54,Natives,2021,Females,22
Helgafellssveit,45-54,Natives,2021,Males,30
Helgafellssveit,55-64,Immigrants,2011,Females,3
Helgafellssveit,55-64,Immigrants,2011,Males,0
Helgafellssveit,55-64,Immigrants,2021,Females,2
Helgafellssveit,55-64,Immigrants,2021,Males,3
Helgafellssveit,55-64,Natives,2011,Females,26
Helgafellssveit,55-64,Natives,2011,Males,26
Helgafellssveit,55-64,Natives,2021,Females,62
Helgafellssveit,55-64,Natives,2021,Males,56
Helgafellssveit,65 and over,Immigrants,2011,Females,1
Helgafellssveit,65 and over,Immigrants,2011,Males,0
Helgafellssveit,65 and over,Immigrants,2021,Females,2
Helgafellssveit,65 and over,Immigrants,2021,Males,1
Helgafellssveit,65 and over,Natives,2011,Females,27
Helgafellssveit,65 and over,Natives,2011,Males,29
Helgafellssveit,65 and over,Natives,2021,Females,56
Helgafellssveit,65 and over,Natives,2021,Males,65
Horgarsveit,0-15,Immigrants,2011,Females,5
Horgarsveit,0-15,Immigrants,2011,Males,2
Horgarsveit,0-15,Immigrants,2021,Females,7
Horgarsveit,0-15,Immigrants,2021,Males,4
Horgarsveit,0-15,Natives,2011,Females,174
Horgarsveit,0-15,Natives,2011,Males,176
Horgarsveit,0-15,Natives,2021,Females,163
Horgarsveit,0-15,Natives,2021,Males,159
Horgarsveit,16-24,Immigrants,2011,Females,3
Horgarsveit,16-24,Immigrants,2011,Males,5
Horgarsveit,16-24,Immigrants,2021,Females,8
Horgarsveit,16-24,Immigrants,2021,Males,5
Horgarsveit,16-24,Natives,2011,Females,119
Horgarsveit,16-24,Natives,2011,Males,126
Horgarsveit,16-24,Natives,2021,Females,83
Horgarsveit,16-24,Natives,2021,Males,91
Horgarsveit,25-34,Immigrants,2011,Females,11
Horgarsveit,25-34,Immigrants,2011,Males,12
Horgarsveit,25-34,Immigrants,2021,Females,18
Horgarsveit,25-34,Immigrants,2021,Males,24
Horgarsveit,25-34,Natives,2011,Females,66
Horgarsveit,25-34,Natives,2011,Males,102
Horgarsveit,25-34,Natives,2021,Females,92
Horgarsveit,25-34,Natives,2021,Males,90
Horgarsveit,35-44,Immigrants,2011,Females,7
Horgarsveit,35-44,Immigrants,2011,Males,10
Horgarsveit,35-44,Immigrants,2021,Females,20
Horgarsveit,35-44,Immigrants,2021,Males,20
Horgarsveit,35-44,Natives,2011,Females,92
Horgarsveit,35-44,Natives,2011,Males,89
Horgarsveit,35-44,Natives,2021,Females,90
Horgarsveit,35-44,Natives,2021,Males,103
Horgarsveit,45-54,Immigrants,2011,Females,3
Horgarsveit,45-54,Immigrants,2011,Males,4
Horgarsveit,45-54,Immigrants,2021,Females,12
Horgarsveit,45-54,Immigrants,2021,Males,12
Horgarsveit,45-54,Natives,2011,Females,159
Horgarsveit,45-54,Natives,2011,Males,153
Horgarsveit,45-54,Natives,2021,Females,93
Horgarsveit,45-54,Natives,2021,Males,84
Horgarsveit,55-64,Immigrants,2011,Females,0
Horgarsveit,55-64,Immigrants,2011,Males,2
Horgarsveit,55-64,Immigrants,2021,Females,3
Horgarsveit,55-64,Immigrants,2021,Males,5
Horgarsveit,55-64,Natives,2011,Females,117
Horgarsveit,55-64,Natives,2011,Males,138
Horgarsveit,55-64,Natives,2021,Females,151
Horgarsveit,55-64,Natives,2021,Males,152
Horgarsveit,65 and over,Immigrants,2011,Females,4
Horgarsveit,65 and over,Immigrants,2011,Males,2
Horgarsveit,65 and over,Immigrants,2021,Females,2
Horgarsveit,65 and over,Immigrants,2021,Males,4
Horgarsveit,65 and over,Natives,2011,Females,215
Horgarsveit,65 and over,Natives,2011,Males,192
Horgarsveit,65 and over,Natives,2021,Females,222
Horgarsveit,65 and over,Natives,2021,Males,237
Hrunamannahreppur,0-15,Immigrants,2011,Females,0
Hrunamannahreppur,0-15,Immigrants,2011,Males,0
Hrunamannahreppur,0-15,Immigrants,2021,Females,0
Hrunamannahreppur,0-15,Immigrants,2021,Males,0
Hrunamannahreppur,0-15,Natives,2011,Females,7
Hrunamannahreppur,0-15,Natives,2011,Males,10
Hrunamannahreppur,0-15,Natives,2021,Females,10
Hrunamannahreppur,0-15,Natives,2021,Males,5
Hrunamannahreppur,16-24,Immigrants,2011,Females,0
Hrunamannahreppur,16-24,Immigrants,2011,Males,0
Hrunamannahreppur,16-24,Immigrants,2021,Females,1
Hrunamannahreppur,16-24,Immigrants,2021,Males,0
Hrunamannahreppur,16-24,Natives,2011,Females,3
Hrunamannahreppur,16-24,Natives,2011,Males,5
Hrunamannahreppur,16-24,Natives,2021,Females,6
Hrunamannahreppur,16-24,Natives,2021,Males,5
Hrunamannahreppur,25-34,Immigrants,2011,Females,0
Hrunamannahreppur,25-34,Immigrants,2011,Males,0
Hrunamannahreppur,25-34,Immigrants,2021,Females,0
Hrunamannahreppur,25-34,Immigrants,2021,Males,2
Hrunamannahreppur,25-34,Natives,2011,Females,4
Hrunamannahreppur,25-34,Natives,2011,Males,9
Hrunamannahreppur,25-34,Natives,2021,Females,2
Hrunamannahreppur,25-34,Natives,2021,Males,6
Hrunamannahreppur,35-44,Immigrants,2011,Females,2
Hrunamannahreppur,35-44,Immigrants,2011,Males,0
Hrunamannahreppur,35-44,Immigrants,2021,Females,0
Hrunamannahreppur,35-44,Immigrants,2021,Males,0
Hrunamannahreppur,35-44,Natives,2011,Females,1
Hrunamannahreppur,35-44,Natives,2011,Males,4
Hrunamannahreppur,35-44,Natives,2021,Females,7
Hrunamannahreppur,35-44,Natives,2021,Males,6
Hrunamannahreppur,45-54,Immigrants,2011,Females,1
Hrunamannahreppur,45-54,Immigrants,2011,Males,0
Hrunamannahreppur,45-54,Immigrants,2021,Females,1
Hrunamannahreppur,45-54,Immigrants,2021,Males,0
Hrunamannahreppur,45-54,Natives,2011,Females,7
Hrunamannahreppur,45-54,Natives,2011,Males,7
Hrunamannahreppur,45-54,Natives,2021,Females,3
Hrunamannahreppur,45-54,Natives,2021,Males,5
Hrunamannahreppur,55-64,Immigrants,2011,Females,0
Hrunamannahreppur,55-64,Immigrants,2011,Males,0
Hrunamannahreppur,55-64,Immigrants,2021,Females,0
Hrunamannahreppur,55-64,Immigrants,2021,Males,0
Hrunamannahreppur,55-64,Natives,2011,Females,7
Hrunamannahreppur,55-64,Natives,2011,Males,8
Hrunamannahreppur,55-64,Natives,2021,Females,7
Hrunamannahreppur,55-64,Natives,2021,Males,6
Hrunamannahreppur,65 and over,Immigrants,2011,Females,0
Hrunamannahreppur,65 and over,Immigrants,2011,Males,0
Hrunamannahreppur,65 and over,Immigrants,2021,Females,0
Hrunamannahreppur,65 and over,Immigrants,2021,Males,0
Hrunamannahreppur,65 and over,Natives,2011,Females,4
Hrunamannahreppur,65 and over,Natives,2011,Males,8
Hrunamannahreppur,65 and over,Natives,2021,Females,9
Hrunamannahreppur,65 and over,Natives,2021,Males,11
Hunathing vestra,0-15,Immigrants,2011,Females,4
Hunathing vestra,0-15,Immigrants,2011,Males,1
Hunathing vestra,0-15,Immigrants,2021,Females,6
Hunathing vestra,0-15,Immigrants,2021,Males,5
Hunathing vestra,0-15,Natives,2011,Females,108
Hunathing vestra,0-15,Natives,2011,Males,114
Hunathing vestra,0-15,Natives,2021,Females,102
Hunathing vestra,0-15,Natives,2021,Males,127
Hunathing vestra,16-24,Immigrants,2011,Females,3
Hunathing vestra,16-24,Immigrants,2011,Males,2
Hunathing vestra,16-24,Immigrants,2021,Females,14
Hunathing vestra,16-24,Immigrants,2021,Males,12
Hunathing vestra,16-24,Natives,2011,Females,53
Hunathing vestra,16-24,Natives,2011,Males,69
Hunathing vestra,16-24,Natives,2021,Females,50
Hunathing vestra,16-24,Natives,2021,Males,53
Hunathing vestra,25-34,Immigrants,2011,Females,20
Hunathing vestra,25-34,Immigrants,2011,Males,11
Hunathing vestra,25-34,Immigrants,2021,Females,29
Hunathing vestra,25-34,Immigrants,2021,Males,28
Hunathing vestra,25-34,Natives,2011,Females,47
Hunathing vestra,25-34,Natives,2011,Males,64
Hunathing vestra,25-34,Natives,2021,Females,49
Hunathing vestra,25-34,Natives,2021,Males,59
Hunathing vestra,35-44,Immigrants,2011,Females,10
Hunathing vestra,35-44,Immigrants,2011,Males,5
Hunathing vestra,35-44,Immigrants,2021,Females,25
Hunathing vestra,35-44,Immigrants,2021,Males,18
Hunathing vestra,35-44,Natives,2011,Females,52
Hunathing vestra,35-44,Natives,2011,Males,50
Hunathing vestra,35-44,Natives,2021,Females,40
Hunathing vestra,35-44,Natives,2021,Males,66
Hunathing vestra,45-54,Immigrants,2011,Females,8
